                                         MATRIZ DE REQUERIMIENTOS FUNCIONALES vs. CASOS DE USO — Plugin Feedback Canvas                                                 Unnamed: 1                           Unnamed: 2                        Unnamed: 3                      Unnamed: 4                           Unnamed: 5                     Unnamed: 6                    Unnamed: 7                     Unnamed: 8                        Unnamed: 9                Unnamed: 10                        Unnamed: 11                         Unnamed: 12                           Unnamed: 13
0   ✓ = El requerimiento funcional está cubierto por el grupo de Casos de Uso indicado    |    — = Sin relación directa                                                        NaN                                  NaN                               NaN                             NaN                                  NaN                            NaN                           NaN                            NaN                               NaN                        NaN                                NaN                                 NaN                                   NaN
1                                                                                                                    RF                              Descripción del Requerimiento  CU01-CU05\nGeneración\nFeedback\nIA  CU06-CU08\nVariables\ny\nCalidad  CU09-CU15\nGestión\nPlantillas  CU16-CU22\nIntegración\nCanvas\nLTI  CU23-CU30\nRevisión\nProfesor  CU31-CU33\nVista\nEstudiante  CU34-CU37\nConfig.\nVariables  CU38-CU41\nGestión\nCursos/Asig.  CU42-CU45\nNotificaciones  CU46-CU50\nReportes\nEstadísticas  CU51-CU56\nAdministración\nSistema  CU57-CU64\nDespliegue\nAccesibilidad
2                                                                                                                  RF01                Generar retroalimentación automática con IA                                    ✓                                 —                               —                                    —                              ✓                             —                              —                                 —                          —                                  —                                   ✓                                     —
3                                                                                                                  RF02           Considerar calificaciones previas del estudiante                                    ✓                                 ✓                               —                                    —                              —                             ✓                              —                                 —                          —                                  ✓                                   —                                     —
4                                                                                                                  RF03           Mensajes diferenciados por rango de calificación                                    ✓                                 —                               ✓                                    —                              ✓                             —                              —                                 —                          —                                  —                                   —                                     —
5                                                                                                                  RF04                           Motor de IA con LLM configurable                                    ✓                                 —                               —                                    —                              —                             —                              ✓                                 —                          —                                  —                                   ✓                                     —
6                                                                                                                  RF05              Feedback distinto según trayectoria académica                                    ✓                                 ✓                               —                                    —                              —                             ✓                              —                                 —                          —                                  —                                   —                                     —
7                                                                                                                  RF06                       Agregar variables de personalización                                    —                                 ✓                               —                                    —                              —                             —                              ✓                                 —                          —                                  —                                   ✓                                     —
8                                                                                                                  RF07             Capturar ediciones del profesor sobre feedback                                    —                                 ✓                               —                                    —                              ✓                             —                              —                                 —                          —                                  ✓                                   —                                     —
9                                                                                                                  RF08             Calificar calidad del feedback (1-5 estrellas)                                    —                                 ✓                               —                                    —                              ✓                             —                              —                                 —                          —                                  ✓                                   —                                     —
10                                                                                                                 RF09               Gestionar plantillas (crear/editar/eliminar)                                    —                                 —                               ✓                                    —                              ✓                             —                              —                                 —                          —                                  —                                   ✓                                     —
11                                                                                                                 RF10           Crear plantilla con editor y variables dinámicas                                    —                                 ✓                               ✓                                    —                              —                             —                              ✓                                 —                          —                                  —                                   —                                     —
